form_type	cik	company_name	date_filed	file_name
NT-NCSR	330	330	330	330
NT-NCSR/A	17	17	17	17
NT-NSAR	756	756	756	756
NT-NSAR/A	54	54	54	54
NTFNCSR	59	59	59	59
NTFNSAR	31	31	31	31
NTN 10D	5	5	5	5
NTN 10K	959	959	959	959
NTN 10Q	1340	1340	1340	1340
NTN 20F	28	28	28	28
OIP NTC	155	155	155	155
OIP ORDR	155	155	155	155
POS 8C	1482	1482	1482	1482
POS AM	27193	27193	27193	27193
POS AMC	181	181	181	181
POS AMI	3284	3284	3284	3284
POS EX	3171	3171	3171	3171
POS462B	69	69	69	69
POS462C	26	26	26	26
POSASR	16472	16472	16472	16472
PRE 14A	22124	22124	22124	22124
PRE 14C	6700	6700	6700	6700
PREC14A	2307	2307	2307	2307
PREC14C	50	50	50	50
PREM14A	2653	2653	2653	2653
PREM14C	368	368	368	368
PREN14A	402	402	402	402
PRER14A	6161	6161	6161	6161
PRER14C	1871	1871	1871	1871
PRRN14A	2311	2311	2311	2311
PX14A6G	1726	1726	1726	1726
PX14A6N	48	48	48	48
QRTLYRPT	69	69	69	69
QRTLYRPT/A	1	1	1	1
QUALIF	135	135	135	135
REG-NR	51	51	51	51
REG-NR/A	1	1	1	1
REGDEX	112661	112661	112661	112661
REGDEX/A	38438	38438	38438	38438
REVOKED	4804	4804	4804	4804
RW	7831	7831	7831	7831
RW WD	351	351	351	351
S-1	14553	14553	14553	14553
S-1/A	35101	35101	35101	35101
S-11	746	746	746	746
S-11/A	2489	2489	2489	2489
S-11MEF	57	57	57	57
S-1MEF	764	764	764	764
S-2	258	258	258	258
S-2/A	409	409	409	409
S-20	1	1	1	1
S-20/A	3	3	3	3
S-2MEF	18	18	18	18
S-3	24554	24554	24554	24554
S-3/A	22332	22332	22332	22332
S-3ASR	24113	24113	24113	24113
S-3D	410	410	410	410
S-3DPOS	289	289	289	289
S-3MEF	669	669	669	669
S-4	61320	61320	61320	61320
S-4 POS	119	119	119	119
S-4/A	70997	70997	70997	70997
S-4EF	10	10	10	10
S-4EF/A	4	4	4	4
S-4MEF	66	66	66	66
S-6	13242	13242	13242	13242
S-6/A	5402	5402	5402	5402
S-8	37376	37376	37376	37376
S-8 POS	21225	21225	21225	21225
S-B	264	264	264	264
S-B/A	159	159	159	159
S-BMEF	13	13	13	13
SB-1	58	58	58	58
SB-1/A	164	164	164	164
SB-2	4326	4326	4326	4326
SB-2/A	9132	9132	9132	9132
SB-2MEF	45	45	45	45
SC 13D	57292	57292	57292	57292
SC 13D/A	130350	130350	130350	130350
SC 13E1	7	7	7	7
SC 13E1/A	4	4	4	4
SC 13E3	1470	1470	1470	1470
SC 13E3/A	5331	5331	5331	5331
SC 13G	222240	222240	222240	222240
SC 13G/A	417166	417166	417166	417166
SC 14D9	1960	1960	1960	1960
SC 14D9/A	5371	5371	5371	5371
SC 14F1	1662	1662	1662	1662
SC 14F1/A	165	165	165	165
SC 14N	4	4	4	4
SC 14N/A	2	2	2	2
SC TO-C	5985	5985	5985	5985
SC TO-I	6494	6494	6494	6494
SC TO-I/A	10768	10768	10768	10768
SC TO-T	3112	3112	3112	3112
SC TO-T/A	16295	16295	16295	16295
SC13E4F	14	14	14	14
SC13E4F/A	16	16	16	16
SC14D1F	74	74	74	74
SC14D1F/A	254	254	254	254
SC14D9C	1794	1794	1794	1794
SC14D9F	33	33	33	33
SC14D9F/A	39	39	39	39
SD	3848	3848	3848	3848
SD/A	14	14	14	14
SDR	2	2	2	2
SE	2901	2901	2901	2901
SF-1	1	1	1	1
SF-1/A	7	7	7	7
SF-3	82	82	82	82
SF-3/A	184	184	184	184
SL	4	4	4	4
SP 15D2	33	33	33	33
SP 15D2/A	2	2	2	2
STOP ORDER	43	43	43	43
SUPPL	48388	48388	48388	48388
T-3	1924	1924	1924	1924
T-3/A	2330	2330	2330	2330
TA-1	283	283	283	283
TA-1/A	3316	3316	3316	3316
TA-2	6555	6555	6555	6555
TA-2/A	578	578	578	578
TA-W	383	383	383	383
TACO	86	86	86	86
TH	23	23	23	23
TTW	21	21	21	21
TTW/A	7	7	7	7
U-1	204	204	204	204
U-1/A	427	427	427	427
U-12-IA	15	15	15	15
U-12-IB	948	948	948	948
U-12-IB/A	4	4	4	4
U-13-60	113	113	113	113
U-13-60/A	2	2	2	2
U-13E-1	1	1	1	1
U-33-S	14	14	14	14
U-3A-2	247	247	247	247
U-3A-2/A	53	53	53	53
U-3A3-1	4	4	4	4
U-57	69	69	69	69
U-57/A	52	52	52	52
U-6B-2	512	512	512	512
U-6B-2/A	4	4	4	4
U-7D	9	9	9	9
U-7D/A	2	2	2	2
U-9C-3	279	279	279	279
U-9C-3/A	4	4	4	4
U5A	8	8	8	8
U5A/A	3	3	3	3
U5B	6	6	6	6
U5B/A	3	3	3	3
U5S	85	85	85	85
U5S/A	28	28	28	28
UNDER	20	20	20	20
UPLOAD	160956	160956	160956	160956
WDL-REQ	50	50	50	50
X-17A-5	65934	65934	65934	65934
X-17A-5/A	4641	4641	4641	4641
